selected_storms,n_points,boundary_ratio,method,clusters,noise_points,runtime_mean_s,runtime_std_s,peak_memory_mb_mean,peak_memory_mb_std
4,340,0.03823529411764706,DBSCAN,6,2,0.0030681200000000075,0.0007085716432373617,0.10560836791992187,0.01839805264754449
4,340,0.03823529411764706,PBC-DBSCAN,4,0,0.019764699999999902,0.0008615767800956208,0.11545314788818359,0.006389863980238425
4,340,0.03823529411764706,GPDBSCAN,4,0,0.02730389999999989,0.0008365364498932234,0.10950870513916015,0.0023169887109553687
6,494,0.04251012145748988,DBSCAN,9,3,0.003989180000000037,0.0004962416967568207,0.13372974395751952,0.0026244345365308928
6,494,0.04251012145748988,PBC-DBSCAN,6,0,0.028204799999999964,0.0007132732688106635,0.15785064697265624,0.00030593872070312496
6,494,0.04251012145748988,GPDBSCAN,6,0,0.04056009999999999,0.0013417087776414292,0.15265064239501952,0.00018645091419448517
8,650,0.052307692307692305,DBSCAN,13,3,0.004887940000000146,0.0007863429241748383,0.1738435745239258,0.0005651852173114252
8,650,0.052307692307692305,PBC-DBSCAN,8,0,0.04036619999999998,0.00215883810323985,0.2064044952392578,0.0006159260812336728
8,650,0.052307692307692305,GPDBSCAN,8,0,0.054248459999999984,0.0032485454847363837,0.19891910552978515,0.0002001520435745906
10,926,0.07667386609071274,DBSCAN,18,3,0.007126500000000036,0.0013711315925177504,0.24107074737548828,0.0020646867024454937
10,926,0.07667386609071274,PBC-DBSCAN,10,0,0.060364299999999815,0.0025147721701975685,0.29653091430664064,8.926391601562501e-05
10,926,0.07667386609071274,GPDBSCAN,10,0,0.07995684,0.002438156904385217,0.28601856231689454,0.0003526101133229206
12,1026,0.08674463937621832,DBSCAN,20,5,0.007587000000000188,0.0007737284071303077,0.2708250045776367,0.00011882276815143911
12,1026,0.08674463937621832,PBC-DBSCAN,12,0,0.07018179999999993,0.001628462301682069,0.33126087188720704,0.0001785734721475561
12,1026,0.08674463937621832,GPDBSCAN,12,0,0.09508525999999992,0.005320674600311524,0.3189842224121094,4.5418933307303516e-05
14,1174,0.10391822827938671,DBSCAN,25,5,0.009380379999999989,0.0008441314456884246,0.3078603744506836,0.00017557555985891755
14,1174,0.10391822827938671,PBC-DBSCAN,14,0,0.07963435999999983,0.0012633732743727356,0.38047218322753906,0.0016971930673803284
14,1174,0.10391822827938671,GPDBSCAN,14,0,0.10469001999999997,0.0031834648880737742,0.3672800064086914,0.000152587890625
17,1321,0.13701741105223317,DBSCAN,32,5,0.009360799999999614,0.00038023457496650693,0.3440563201904297,0.00015602811317339132
17,1321,0.13701741105223317,PBC-DBSCAN,17,0,0.09943107999999992,0.0033841364649790824,0.43987884521484377,0.00032501220703125
17,1321,0.13701741105223317,GPDBSCAN,17,0,0.11427501999999982,0.006015934444922223,0.42311687469482423,4.5418933307303516e-05
